"dataset_name","resultID","runID","assayID","pcrChemistryID","extractID","wellLocation","sampleName","copyNumber","control","userProvidedThresholdValue","CqvaluewithUserThreshold","systemCalculatedThresholdValue","systemCalculatedCqValue","userProvidedCqValue","CqIntensitySystemCalculated","rSquared","Cycle_Number1","Cycle_Number2","Cycle_Number3","Cycle_Number4","Cycle_Number5","Cycle_Number6","Cycle_Number7","Cycle_Number8","Cycle_Number9","Cycle_Number10","Cycle_Number11","Cycle_Number12","Cycle_Number13","Cycle_Number14","Cycle_Number15","Cycle_Number16","Cycle_Number17","Cycle_Number18","Cycle_Number19","Cycle_Number20","Cycle_Number21","Cycle_Number22","Cycle_Number23","Cycle_Number24","Cycle_Number25","Cycle_Number26","Cycle_Number27","Cycle_Number28","Cycle_Number29","Cycle_Number30","Cycle_Number31","Cycle_Number32","Cycle_Number33","Cycle_Number34","Cycle_Number35","Cycle_Number36","Cycle_Number37","Cycle_Number38","Cycle_Number39","Cycle_Number40","Cycle_Number41","Cycle_Number42","Cycle_Number43","Cycle_Number44","Cycle_Number45","Cycle_Number46","Cycle_Number47","Cycle_Number48","Cycle_Number49","Cycle_Number50","Cycle_Number51","Cycle_Number52","Cycle_Number53","Cycle_Number54","Cycle_Number55","Cycle_Number56","Cycle_Number57","Cycle_Number58","Cycle_Number59","Cycle_Number60","Cycle_Number61","Cycle_Number62","Cycle_Number63","Cycle_Number64","Cycle_Number65","Cycle_Number66","Cycle_Number67","Cycle_Number68","Cycle_Number69","Cycle_Number70","runRecordedBy","runDate","runTime","runPlatform","machineID","reactionConditions","reactionVolume","templateAmount","forwardPrimerBatch","reversePrimerBatch","dNTPConcentration","primerConcentration","probeConcentration","Mg2+Concentration","polymeraseBatch","polymeraseConcentrations","thermocyclerParameters","pcrDataNotes","taxonID","establishmentMeans","assayName","assayOwnership","assayDescription","assayCitation","assayDate","geneTarget","geneSymbol","dilutions","replicates","primerR","primerF","probe","ampliconLength (bp)","probeFluorescentTag","dye(s)","quencher","probeModification","kingdom","phylum","class","order","family","genus","subgenus","species","vernacularName","organismScope","replicateID","extractName","analyst","extractionDate","extractionTime","location","extractionMethod","methodCitation","extractionNotes","tubePlateID","frozen","fixed","dnaStorageLocation","extractMethodOfStorage","dnaVolume","quantificationMethod","concentration(ng/ul)","stationID","collectorName","replicateName","collectionDate","collectionTime","storageID","DateOfStorage","methodOfStorage","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","flowRate(m/s)","filterType","filtrationDuration(mins)","volumeFiltered","processLocation","replicationNumber","riparianVegetationPercentageCover","dissolvedOxygen(mg/L)","waterTemperature(C)","pH","TSS(mg/L)","EC(uS/cm)","turbidity(NTU)","discharge","tide","chlorophyl","salinity(ppt)","contaminants(ng/g)","traceMetals(mg/kg)","organicContent(%)","microbialActivity","grainSize","replicateDataNotes","siteID","stationName","decimalLongitude","decimalLatitude","geographicRegionID","locality","estimatedPerimeter","estimatedSurfaceArea(m2)","siteType","siteLength(m2)","projectID","continent","country","stateProvince","municipality","projectCreationDate","projectName","projectRecordedBy","projectOwner","projectContactEmail","projectDescription","InstitutionID","projectDataNotes","standardCurveID","standardCurveName","SCdate","SCrecordedBy","SCdataNotes"
"sadfg",NULL,"A","A","A","A","A01","Neg","NA","Y",NULL,"No Threshold Value Provided by User","Unable to Determine Threshold",40,NULL,"None > 40","NA","8.607977","8.745033","8.745033","8.761244","8.749454","8.762717","8.742085","8.737664","8.739138","8.746506","8.758296","8.767138","8.753875","8.777454","8.783349","8.801034","8.796613","8.808403","8.814297","8.830508","8.839351","8.824613","8.861456","8.868825","8.864404","8.86293","8.883562","8.885036","8.898299","8.899773","8.90272","8.90272","8.933668","8.920405","8.915984","8.930721","8.960195","8.946932","8.955774","8.958722",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tzitziki Loeza-Quintana",NULL,NULL,"MIC","M0000646",NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data",NULL,8038,"Endangered","Southern Pike","Precision Biomonitoring","Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome","https://precisionbiomonitoring.com",2018-06-11,"Cytochrome B","CytB",NULL,5,NULL,NULL,NULL,194,"FAM™",NULL,NULL,NULL,"animalia","chordata","Actinopterygii","Esociformes","Esocidae","Esox",NULL,"niger","Chain pickerel",NULL,"A","Neg","Tzitziki",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"qPCR on mic",NULL,"I","Tzitziki","Neg",2018-06-11,NULL,"Neg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"B","Lab",80.2262,43.5327,"A","Guelph University",NULL,NULL,"University",NULL,"Keji","North America","Canada","Ontario","Guelph",2018-06-21,"Kejimkujik National Park eDNA","Abi Yogasekaram","Tzitziki","tloezaqu@uoguelph.ca","Blandings Turtle Detection","University of Guelph",NULL,"A","Chain_Pickerel_SC",2018-07-30,"Tzitziki",NULL
"sadfg",NULL,"A","A","A","B","A02","84 A","NA",NULL,NULL,"No Threshold Value Provided by User","Unable to Determine Threshold",40,NULL,"None > 40","NA","8.243969","8.403131","8.431131","8.457658","8.450289","8.460605","8.442921","8.472395","8.479764","8.488606","8.509238","8.516607","8.512186","8.523975","8.54166","8.562292","8.551976","8.559344","8.58145","8.594714","8.596187","8.585871","8.621241","8.616819","8.613872","8.610925","8.634504","8.634504","8.637451","8.635978","8.627135","8.630083","8.649241","8.650715","8.640399","8.64482","8.662505","8.646294","8.646294","8.64482",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tzitziki Loeza-Quintana",NULL,NULL,"MIC","M0000646",NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data",NULL,8038,"Endangered","Southern Pike","Precision Biomonitoring","Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome","https://precisionbiomonitoring.com",2018-06-11,"Cytochrome B","CytB",NULL,5,NULL,NULL,NULL,194,"FAM™",NULL,NULL,NULL,"animalia","chordata","Actinopterygii","Esociformes","Esocidae","Esox",NULL,"niger","Chain pickerel",NULL,"B","EE-18-084","Tzitziki",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"qPCR on mic",NULL,"B","Tzitziki","84 A",2018-06-11,NULL,"EE-18-084",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.7,16.2,4.3,NULL,NULL,0.0169,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,"A","Lower Peskowesk Br.",-65.188016,44.28381,"A","Kejimkujik National Park",NULL,4.04e+08,"Lake",NULL,"Keji","North America","Canada","Nova Scotia","Annapolis",2018-06-20,"Kejimkujik National Park eDNA","Abi Yogasekaram","Tzitziki","tloezaqu@uoguelph.ca","Blandings Turtle Detection","University of Guelph",NULL,"A","Chain_Pickerel_SC",2018-07-30,"Tzitziki",NULL
"sadfg",NULL,"A","A","A","C","A03","85 A","NA",NULL,NULL,"No Threshold Value Provided by User","Unable to Determine Threshold",40,NULL,"None > 40","NA","9.215148","9.380204","9.393468","9.421469","9.445048","9.450943","9.455364","9.499575","9.523155","9.551156","9.585051","9.604209","9.607157","9.630736","9.649895","9.674948","9.674948","9.685264","9.702948","9.728002","9.738318","9.720633","9.763371","9.75895","9.756002","9.754528","9.784003","9.791371","9.800214","9.812003","9.812003","9.813477","9.847373","9.853267","9.832635","9.844425","9.881268","9.859162","9.881268","9.884215",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tzitziki Loeza-Quintana",NULL,NULL,"MIC","M0000646",NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data",NULL,8038,"Endangered","Southern Pike","Precision Biomonitoring","Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome","https://precisionbiomonitoring.com",2018-06-11,"Cytochrome B","CytB",NULL,5,NULL,NULL,NULL,194,"FAM™",NULL,NULL,NULL,"animalia","chordata","Actinopterygii","Esociformes","Esocidae","Esox",NULL,"niger","Chain pickerel",NULL,"C","EE-18-085","Tzitziki",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"qPCR on mic",NULL,"B","Tzitziki","85 A",2018-06-11,NULL,"EE-18-085",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.7,16.2,4.3,NULL,NULL,0.0169,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,"A","Lower Peskowesk Br.",-65.188016,44.28381,"A","Kejimkujik National Park",NULL,4.04e+08,"Lake",NULL,"Keji","North America","Canada","Nova Scotia","Annapolis",2018-06-20,"Kejimkujik National Park eDNA","Abi Yogasekaram","Tzitziki","tloezaqu@uoguelph.ca","Blandings Turtle Detection","University of Guelph",NULL,"A","Chain_Pickerel_SC",2018-07-30,"Tzitziki",NULL
"sadfg",NULL,"A","A","A","D","A04","86 A","NA",NULL,NULL,"No Threshold Value Provided by User","Unable to Determine Threshold",40,NULL,"None > 40","NA","8.848193","9.025039","9.061882","9.098725","9.098725","9.138515","9.123778","9.160621","9.160621","9.182726","9.204832","9.206306","9.194516","9.201885","9.222517","9.231359","9.221043","9.229885","9.253465","9.256412","9.25936","9.254939","9.288834","9.293255","9.294729","9.296203","9.327151","9.341888","9.353678","9.372836","9.375783","9.39052","9.419995","9.449469","9.440627","9.461259","9.499575","9.503997","9.511365","9.523155",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tzitziki Loeza-Quintana",NULL,NULL,"MIC","M0000646",NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data",NULL,8038,"Endangered","Southern Pike","Precision Biomonitoring","Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome","https://precisionbiomonitoring.com",2018-06-11,"Cytochrome B","CytB",NULL,5,NULL,NULL,NULL,194,"FAM™",NULL,NULL,NULL,"animalia","chordata","Actinopterygii","Esociformes","Esocidae","Esox",NULL,"niger","Chain pickerel",NULL,"D","EE-18-086","Tzitziki",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"qPCR on mic",NULL,"B","Tzitziki","86 A",2018-06-11,NULL,"EE-18-086",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.7,16.2,4.3,NULL,NULL,0.0169,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,"A","Lower Peskowesk Br.",-65.188016,44.28381,"A","Kejimkujik National Park",NULL,4.04e+08,"Lake",NULL,"Keji","North America","Canada","Nova Scotia","Annapolis",2018-06-20,"Kejimkujik National Park eDNA","Abi Yogasekaram","Tzitziki","tloezaqu@uoguelph.ca","Blandings Turtle Detection","University of Guelph",NULL,"A","Chain_Pickerel_SC",2018-07-30,"Tzitziki",NULL
"sadfg",NULL,"A","A","A","E","A05","87 A","NA",NULL,NULL,"No Threshold Value Provided by User","Unable to Determine Threshold",40,NULL,"None > 40","NA","9.030934","9.157673","9.167989","9.179779","9.181253","9.190095","9.191569","9.187148","9.1842","9.209253","9.225464","9.229885","9.238728","9.246096","9.265255","9.266728","9.272623","9.288834","9.309466","9.303571","9.309466","9.306519","9.313887","9.331572","9.321256","9.316835","9.328624","9.343362","9.353678","9.36252","9.365467","9.378731","9.378731","9.399363","9.377257","9.391994","9.418521","9.417047","9.418521","9.433258",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tzitziki Loeza-Quintana",NULL,NULL,"MIC","M0000646",NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data",NULL,8038,"Endangered","Southern Pike","Precision Biomonitoring","Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome","https://precisionbiomonitoring.com",2018-06-11,"Cytochrome B","CytB",NULL,5,NULL,NULL,NULL,194,"FAM™",NULL,NULL,NULL,"animalia","chordata","Actinopterygii","Esociformes","Esocidae","Esox",NULL,"niger","Chain pickerel",NULL,"E","EE-18-087","Tzitziki",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"qPCR on mic",NULL,"B","Tzitziki","87 A",2018-06-11,NULL,"EE-18-087",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.7,16.2,4.3,NULL,NULL,0.0169,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,"A","Lower Peskowesk Br.",-65.188016,44.28381,"A","Kejimkujik National Park",NULL,4.04e+08,"Lake",NULL,"Keji","North America","Canada","Nova Scotia","Annapolis",2018-06-20,"Kejimkujik National Park eDNA","Abi Yogasekaram","Tzitziki","tloezaqu@uoguelph.ca","Blandings Turtle Detection","University of Guelph",NULL,"A","Chain_Pickerel_SC",2018-07-30,"Tzitziki",NULL
"sadfg",NULL,"A","A","A","F","A06","88 A","NA",NULL,NULL,"No Threshold Value Provided by User","Unable to Determine Threshold",40,NULL,"None > 40","NA","9.403784","9.545261","9.558524","9.573261","9.56884","9.598314","9.599788","9.605683","9.598314","9.617473","9.636631","9.635157","9.63221","9.641052","9.657263","9.654316","9.660211","9.677895","9.701475","9.707369","9.720633","9.722107","9.738318","9.773687","9.772213","9.782529","9.807582","9.841478","9.859162","9.875373","9.89011","9.910742","9.92548","9.950533","9.935796","9.950533","9.975586","9.982954","9.985902","9.994744",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tzitziki Loeza-Quintana",NULL,NULL,"MIC","M0000646",NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data",NULL,8038,"Endangered","Southern Pike","Precision Biomonitoring","Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome","https://precisionbiomonitoring.com",2018-06-11,"Cytochrome B","CytB",NULL,5,NULL,NULL,NULL,194,"FAM™",NULL,NULL,NULL,"animalia","chordata","Actinopterygii","Esociformes","Esocidae","Esox",NULL,"niger","Chain pickerel",NULL,"F","EE-18-088","Tzitziki",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"qPCR on mic",NULL,"B","Tzitziki","88 A",2018-06-11,NULL,"EE-18-088",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.7,16.2,4.3,NULL,NULL,0.0169,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,"A","Lower Peskowesk Br.",-65.188016,44.28381,"A","Kejimkujik National Park",NULL,4.04e+08,"Lake",NULL,"Keji","North America","Canada","Nova Scotia","Annapolis",2018-06-20,"Kejimkujik National Park eDNA","Abi Yogasekaram","Tzitziki","tloezaqu@uoguelph.ca","Blandings Turtle Detection","University of Guelph",NULL,"A","Chain_Pickerel_SC",2018-07-30,"Tzitziki",NULL
"sadfg",NULL,"A","A","A","G","A07","89 A","NA",NULL,NULL,"No Threshold Value Provided by User","Unable to Determine Threshold",40,NULL,"None > 40","NA","9.408205","9.583577","9.586525","9.610104","9.626315","9.626315","9.624841","9.654316","9.636631","9.657263","9.672","9.670527","9.667579","9.672","9.682316","9.686737","9.688211","9.713264","9.719159","9.733896","9.74716","9.730949","9.754528","9.791371","9.785476","9.78695","9.812003","9.844425","9.870952","9.887163","9.9019","9.926953","9.950533","9.963796","9.952006","9.968217","9.996218","9.997692","10.006534","10.013902",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tzitziki Loeza-Quintana",NULL,NULL,"MIC","M0000646",NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data",NULL,8038,"Endangered","Southern Pike","Precision Biomonitoring","Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome","https://precisionbiomonitoring.com",2018-06-11,"Cytochrome B","CytB",NULL,5,NULL,NULL,NULL,194,"FAM™",NULL,NULL,NULL,"animalia","chordata","Actinopterygii","Esociformes","Esocidae","Esox",NULL,"niger","Chain pickerel",NULL,"G","EE-18-089","Tzitziki",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"qPCR on mic",NULL,"C","Tzitziki","89 A",2018-06-11,NULL,"EE-18-089",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.8,18.8,4.5,NULL,NULL,0.0175,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,"A","Lower Mersey R.",-65.178066,44.284523,"A","Kejimkujik National Park",NULL,4.04e+08,"Lake",NULL,"Keji","North America","Canada","Nova Scotia","Annapolis",2018-06-20,"Kejimkujik National Park eDNA","Abi Yogasekaram","Tzitziki","tloezaqu@uoguelph.ca","Blandings Turtle Detection","University of Guelph",NULL,"A","Chain_Pickerel_SC",2018-07-30,"Tzitziki",NULL
"sadfg",NULL,"A","A","A","H","A08","90 A","NA",NULL,NULL,"No Threshold Value Provided by User","Unable to Determine Threshold",40,NULL,"None > 40","NA","9.554103","9.72358","9.751581","9.757476","9.757476","9.789898","9.769266","9.807582","9.807582","9.825267","9.835583","9.845899","9.848846","9.859162","9.876847","9.903374","9.9019","9.924006","9.921058","9.946112","9.962322","9.950533","9.969691","9.999165","9.991797","9.994744","10.010955","10.033061","10.055167","10.058114","10.065483","10.069904","10.094957","10.096431","10.081693","10.084641","10.112641","10.102325","10.112641","10.115589",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tzitziki Loeza-Quintana",NULL,NULL,"MIC","M0000646",NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data",NULL,8038,"Endangered","Southern Pike","Precision Biomonitoring","Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome","https://precisionbiomonitoring.com",2018-06-11,"Cytochrome B","CytB",NULL,5,NULL,NULL,NULL,194,"FAM™",NULL,NULL,NULL,"animalia","chordata","Actinopterygii","Esociformes","Esocidae","Esox",NULL,"niger","Chain pickerel",NULL,"H","EE-18-090","Tzitziki",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"qPCR on mic",NULL,"C","Tzitziki","90 A",2018-06-11,NULL,"EE-18-090",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.8,18.8,4.5,NULL,NULL,0.0175,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,"A","Lower Mersey R.",-65.178066,44.284523,"A","Kejimkujik National Park",NULL,4.04e+08,"Lake",NULL,"Keji","North America","Canada","Nova Scotia","Annapolis",2018-06-20,"Kejimkujik National Park eDNA","Abi Yogasekaram","Tzitziki","tloezaqu@uoguelph.ca","Blandings Turtle Detection","University of Guelph",NULL,"A","Chain_Pickerel_SC",2018-07-30,"Tzitziki",NULL
"sadfg",NULL,"A","A","A","I","A09","91 A","NA",NULL,NULL,"No Threshold Value Provided by User","Unable to Determine Threshold",40,NULL,"None > 40","NA","9.064829","9.221043","9.241675","9.281465","9.282939","9.306519","9.300624","9.328624","9.334519","9.346309","9.356625","9.369888","9.361046","9.363994","9.375783","9.394942","9.391994","9.415574","9.409679","9.424416","9.440627","9.433258","9.450943","9.467154","9.452417","9.462733","9.473049","9.502523","9.521681","9.527576","9.542313","9.549682","9.585051","9.587998","9.579156","9.598314","9.638105","9.626315","9.658737","9.672",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tzitziki Loeza-Quintana",NULL,NULL,"MIC","M0000646",NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data",NULL,8038,"Endangered","Southern Pike","Precision Biomonitoring","Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome","https://precisionbiomonitoring.com",2018-06-11,"Cytochrome B","CytB",NULL,5,NULL,NULL,NULL,194,"FAM™",NULL,NULL,NULL,"animalia","chordata","Actinopterygii","Esociformes","Esocidae","Esox",NULL,"niger","Chain pickerel",NULL,"I","EE-18-091","Tzitziki",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"qPCR on mic",NULL,"C","Tzitziki","91 A",2018-06-11,NULL,"EE-18-091",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.8,18.8,4.5,NULL,NULL,0.0175,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,"A","Lower Mersey R.",-65.178066,44.284523,"A","Kejimkujik National Park",NULL,4.04e+08,"Lake",NULL,"Keji","North America","Canada","Nova Scotia","Annapolis",2018-06-20,"Kejimkujik National Park eDNA","Abi Yogasekaram","Tzitziki","tloezaqu@uoguelph.ca","Blandings Turtle Detection","University of Guelph",NULL,"A","Chain_Pickerel_SC",2018-07-30,"Tzitziki",NULL
"sadfg",NULL,"A","A","A","J","A10","92 A","NA",NULL,NULL,"No Threshold Value Provided by User","Unable to Determine Threshold",40,NULL,"None > 40","NA","8.75977","8.893878","8.890931","8.923352","8.932195","8.971985","8.964616","8.979354","9.001459","9.010302","9.033881","9.039776","9.027986","9.036829","9.058934","9.057461","9.061882","9.072198","9.078093","9.08104","9.097251","9.079566","9.123778","9.117883","9.123778","9.129673","9.147357","9.165042","9.176832","9.185674","9.190095","9.19599","9.226938","9.243149","9.23578","9.253465","9.297676","9.302098","9.316835","9.334519",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tzitziki Loeza-Quintana",NULL,NULL,"MIC","M0000646",NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hold at 95°C for 02:00, Cycle 40 times acquiring on Green, Hold at 95°C for 00:15, Hold at 60°C for 00:45, Acquire data",NULL,8038,"Endangered","Southern Pike","Precision Biomonitoring","Targeted qPCR assay targeting 90 bp region of mitochondrial brook trout genome","https://precisionbiomonitoring.com",2018-06-11,"Cytochrome B","CytB",NULL,5,NULL,NULL,NULL,194,"FAM™",NULL,NULL,NULL,"animalia","chordata","Actinopterygii","Esociformes","Esocidae","Esox",NULL,"niger","Chain pickerel",NULL,"J","EE-18-092","Tzitziki",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"qPCR on mic",NULL,"C","Tzitziki","92 A",2018-06-11,NULL,"EE-18-092",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.8,18.8,4.5,NULL,NULL,0.0175,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,"A","Lower Mersey R.",-65.178066,44.284523,"A","Kejimkujik National Park",NULL,4.04e+08,"Lake",NULL,"Keji","North America","Canada","Nova Scotia","Annapolis",2018-06-20,"Kejimkujik National Park eDNA","Abi Yogasekaram","Tzitziki","tloezaqu@uoguelph.ca","Blandings Turtle Detection","University of Guelph",NULL,"A","Chain_Pickerel_SC",2018-07-30,"Tzitziki",NULL
